학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자,X,Y
B000005999,전주기린초등학교,초등학교,1970-03-06,공립,본교,운영,전북특별자치도 전주시 덕진구 인후동1가 431-3,전북특별자치도 전주시 덕진구 견훤로 260,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2024-11-08,35.8347968,127.1591784,2025-03-21,214381.99134117525,359725.8181758642
B000002325,서울원신초등학교,초등학교,2002-09-02,공립,본교,운영,서울특별시 관악구 신림동 336,서울특별시 관악구 광신길 177,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2024-11-08,37.46694889,126.9273104,2025-03-21,193569.55739983876,540838.3703224486
B000024291,아름초등학교,초등학교,2014-03-01,공립,본교,운영,세종특별자치시 아름동 1275,세종특별자치시 달빛로 174,9300000,세종특별자치시교육청,9300000,세종특별자치시교육청,2013-11-29,2024-11-08,36.51441203,127.2514496,2025-03-21,222523.49214264,435155.1619274499
B000002556,명륜초등학교,초등학교,1917-05-05,공립,본교,운영,부산광역시 동래구 명륜동 228,부산광역시 동래구 동래로 91,7150000,부산광역시교육청,7191000,부산광역시동래교육지원청,2013-11-29,2024-11-08,35.20803449,129.0830561,2025-03-21,389689.97282827285,292163.3113231846
B000007248,청천초등학교,초등학교,1947-04-17,공립,본교,운영,경상북도 경산시 하양읍 남하리 361-1,경상북도 경산시 하양읍 대경로 187,8750000,경상북도교육청,8851000,경상북도경산교육지원청,2013-11-29,2024-11-08,35.88393214,128.7735387,2025-03-21,360150.8548013186,366619.1287665943
B000004796,청평초등학교,초등학교,1928-07-02,공립,본교,운영,경기도 가평군 청평면 청평리 395,경기도 가평군 청평면 잠곡로 27,7530000,경기도교육청,7721000,경기도가평교육지원청,2013-11-29,2024-11-08,37.73770116,127.4218861,2025-03-21,237186.97316717953,570970.1993345765
B000003509,명정초등학교,초등학교,1992-09-01,공립,본교,운영,울산광역시 중구 태화동 733,울산광역시 중구 명난로 115,7480000,울산광역시교육청,7491000,울산광역시강북교육지원청,2013-11-29,2024-11-08,35.5526234,129.2888146,2025-03-21,407545.25692861155,330817.1632512664
B000004326,걸포초등학교,초등학교,2011-03-01,공립,본교,운영,경기도 김포시 걸포동 1565,경기도 김포시 걸포로 22,7530000,경기도교육청,7771000,경기도김포교육지원청,2013-11-29,2024-11-08,37.63336276,126.7074969,2025-03-21,174181.32531975125,559346.0702055779
B000003443,대전둔천초등학교,초등학교,1996-09-01,공립,본교,운영,대전광역시 서구 만년동 8,대전광역시 서구 만년로 3,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2024-11-08,36.36810453,127.3740142,2025-03-21,233565.15668150806,418955.38198583515
B000012651,이포고등학교,고등학교,1974-12-27,공립,본교,운영,경기도 여주시 흥천면 계신리 468,경기도 여주시 흥천면 이여로 1075,7530000,경기도교육청,7661000,경기도여주교육지원청,2013-11-29,2024-11-08,37.376319,127.5188375,2025-03-21,245954.16721876236,530903.588432638
