학구ID,학교ID,학교명,학교급구분,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,데이터기준일자,X,Y
Z000103639,B000005503,영춘초등학교,초등학교,8000000,충청북도교육청,8111000,충청북도단양교육지원청,2023-03-22,331866.6411292665,498932.4159033934
Z000101886,B000003746,신백현초등학교,초등학교,7530000,경기도교육청,7551000,경기도성남교육지원청,2023-03-22,209909.2968053479,532017.7658123147
Z000100099,B000001922,서울홍연초등학교,초등학교,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2023-03-22,193910.1659877099,553575.7222987365
Z000150616,B000008062,보성초등학교,초등학교,9290000,제주특별자치도교육청,9299000,제주특별자치도서귀포시교육지원청,2023-03-22,132514.06095903518,73179.80604125804
Z000150616,B000008062,보성초등학교,초등학교,9290000,제주특별자치도교육청,9299000,제주특별자치도서귀포시교육지원청,2023-03-22,193491.36299187347,333921.5566769508
Z000150616,B000008062,보성초등학교,초등학교,9290000,제주특별자치도교육청,9299000,제주특별자치도서귀포시교육지원청,2023-03-22,207187.0048532551,241721.46810299973
Z000150616,B000008062,보성초등학교,초등학교,9290000,제주특별자치도교육청,9299000,제주특별자치도서귀포시교육지원청,2023-03-22,171465.51344746677,452111.65881649416
Z000106053,B000008062,보성초등학교,초등학교,9290000,제주특별자치도교육청,9299000,제주특별자치도서귀포시교육지원청,2023-03-22,132514.06095903518,73179.80604125804
Z000106053,B000008062,보성초등학교,초등학교,9290000,제주특별자치도교육청,9299000,제주특별자치도서귀포시교육지원청,2023-03-22,193491.36299187347,333921.5566769508
Z000106053,B000008062,보성초등학교,초등학교,9290000,제주특별자치도교육청,9299000,제주특별자치도서귀포시교육지원청,2023-03-22,207187.0048532551,241721.46810299973
Z000106053,B000008062,보성초등학교,초등학교,9290000,제주특별자치도교육청,9299000,제주특별자치도서귀포시교육지원청,2023-03-22,171465.51344746677,452111.65881649416
Z000105796,B000007796,칠서초등학교,초등학교,9010000,경상남도교육청,9131000,경상남도함안교육지원청,2023-03-22,336258.24653487443,304994.6040063574
Z000105779,B000007776,지정초등학교,초등학교,9010000,경상남도교육청,9121000,경상남도의령교육지원청,2023-03-22,274954.2016165369,527951.59680012
Z000105779,B000007776,지정초등학교,초등학교,9010000,경상남도교육청,9121000,경상남도의령교육지원청,2023-03-22,326063.9917520009,310481.05247484084
Z000151187,B000005500,가곡초등학교,초등학교,8000000,충청북도교육청,8111000,충청북도단양교육지원청,2023-03-22,227012.2320852678,564976.8576821329
Z000151187,B000005500,가곡초등학교,초등학교,8000000,충청북도교육청,8111000,충청북도단양교육지원청,2023-03-22,323247.5172982117,492959.9337667445
Z000151276,B000005500,가곡초등학교,초등학교,8000000,충청북도교육청,8111000,충청북도단양교육지원청,2023-03-22,227012.2320852678,564976.8576821329
Z000151276,B000005500,가곡초등학교,초등학교,8000000,충청북도교육청,8111000,충청북도단양교육지원청,2023-03-22,323247.5172982117,492959.9337667445
Z000151275,B000005500,가곡초등학교,초등학교,8000000,충청북도교육청,8111000,충청북도단양교육지원청,2023-03-22,227012.2320852678,564976.8576821329
Z000151275,B000005500,가곡초등학교,초등학교,8000000,충청북도교육청,8111000,충청북도단양교육지원청,2023-03-22,323247.5172982117,492959.9337667445
Z000103627,B000005500,가곡초등학교,초등학교,8000000,충청북도교육청,8111000,충청북도단양교육지원청,2023-03-22,227012.2320852678,564976.8576821329
Z000103627,B000005500,가곡초등학교,초등학교,8000000,충청북도교육청,8111000,충청북도단양교육지원청,2023-03-22,323247.5172982117,492959.9337667445
Z000151299,B000004080,진말초등학교,초등학교,7530000,경기도교육청,7781000,경기도시흥교육지원청,2023-03-22,181229.12774152492,531279.6846808513
Z000102196,B000004080,진말초등학교,초등학교,7530000,경기도교육청,7781000,경기도시흥교육지원청,2023-03-22,181229.12774152492,531279.6846808513
Z000150766,B000006623,풍양초등학교,초등학교,8490000,전라남도교육청,8591000,전라남도고흥교육지원청,2023-03-22,214256.2013760632,566927.118735651
Z000150766,B000006623,풍양초등학교,초등학교,8490000,전라남도교육청,8591000,전라남도고흥교육지원청,2023-03-22,222290.53316086912,219948.444565192
Z000150766,B000006623,풍양초등학교,초등학교,8490000,전라남도교육청,8591000,전라남도고흥교육지원청,2023-03-22,316433.0005403945,435695.2398278818
Z000150765,B000006623,풍양초등학교,초등학교,8490000,전라남도교육청,8591000,전라남도고흥교육지원청,2023-03-22,214256.2013760632,566927.118735651
Z000150765,B000006623,풍양초등학교,초등학교,8490000,전라남도교육청,8591000,전라남도고흥교육지원청,2023-03-22,222290.53316086912,219948.444565192
Z000150765,B000006623,풍양초등학교,초등학교,8490000,전라남도교육청,8591000,전라남도고흥교육지원청,2023-03-22,316433.0005403945,435695.2398278818
Z000104712,B000006623,풍양초등학교,초등학교,8490000,전라남도교육청,8591000,전라남도고흥교육지원청,2023-03-22,214256.2013760632,566927.118735651
Z000104712,B000006623,풍양초등학교,초등학교,8490000,전라남도교육청,8591000,전라남도고흥교육지원청,2023-03-22,222290.53316086912,219948.444565192
Z000104712,B000006623,풍양초등학교,초등학교,8490000,전라남도교육청,8591000,전라남도고흥교육지원청,2023-03-22,316433.0005403945,435695.2398278818
Z000103189,B000004824,교동초등학교,초등학교,7800000,강원도교육청,7811000,강원도춘천교육지원청,2023-03-22,390456.91874724336,292983.5283564397
Z000103189,B000004824,교동초등학교,초등학교,7800000,강원도교육청,7811000,강원도춘천교육지원청,2023-03-22,245705.8369635642,445894.0564844941
Z000103189,B000004824,교동초등학교,초등학교,7800000,강원도교육청,7811000,강원도춘천교육지원청,2023-03-22,210846.0174541368,522338.38897693495
Z000103189,B000004824,교동초등학교,초등학교,7800000,강원도교육청,7811000,강원도춘천교육지원청,2023-03-22,283916.94535687764,526995.3909979953
Z000103189,B000004824,교동초등학교,초등학교,7800000,강원도교육청,7811000,강원도춘천교육지원청,2023-03-22,337899.7705952664,623708.1064333568
Z000103189,B000004824,교동초등학교,초등학교,7800000,강원도교육청,7811000,강원도춘천교육지원청,2023-03-22,264853.7256096591,587007.4328808456
Z000103189,B000004824,교동초등학교,초등학교,7800000,강원도교육청,7811000,강원도춘천교육지원청,2023-03-22,136691.354663598,576190.4935019232
Z000103189,B000004824,교동초등학교,초등학교,7800000,강원도교육청,7811000,강원도춘천교육지원청,2023-03-22,342246.6344664623,292776.88195577555
Z000103189,B000004824,교동초등학교,초등학교,7800000,강원도교육청,7811000,강원도춘천교육지원청,2023-03-22,366803.3654214832,575824.3851147881
Z000100881,B000002776,대구매호초등학교,초등학교,7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2023-03-22,354729.9556889995,361791.8965412728
Z000150458,B000006216,벽량초등학교,초등학교,8320000,전라북도교육청,8381000,전라북도김제교육지원청,2023-03-22,186208.1181103292,348142.562065232
Z000104316,B000006216,벽량초등학교,초등학교,8320000,전라북도교육청,8381000,전라북도김제교육지원청,2023-03-22,186208.1181103292,348142.562065232
Z000105560,B000024417,현동초등학교,초등학교,9010000,경상남도교육청,9022000,경상남도창원교육지원청,2023-03-22,341851.23837473965,284484.9962908207
Z000100902,B000002743,대구신천초등학교,초등학교,7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2023-03-22,346373.8633937475,365014.0181928632
Z000101044,B000002921,대구호산초등학교,초등학교,7240000,대구광역시교육청,7271000,대구광역시남부교육지원청,2023-03-22,333604.0257448719,362270.6905086145
Z000104431,B000006346,동호초등학교,초등학교,8320000,전라북도교육청,8451000,전라북도고창교육지원청,2023-03-22,154128.51898184145,323514.84056723927
Z000104431,B000006346,동호초등학교,초등학교,8320000,전라북도교육청,8451000,전라북도고창교육지원청,2023-03-22,385657.8859868528,551416.0461512642
Z000101952,B000003838,명학초등학교,초등학교,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2023-03-22,194196.519403914,531210.7011083666
Z000100468,B000002305,서울신상도초등학교,초등학교,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2023-03-22,195046.2056759885,544524.8918066759
Z000106095,B000024304,보람초등학교,초등학교,9300000,세종특별자치시교육청,9300000,세종특별자치시교육청,2023-03-22,226334.93417319207,431278.7117325654
Z000151025,B000006438,여천초등학교,초등학교,8490000,전라남도교육청,8511000,전라남도여수교육지원청,2023-03-22,259939.1606122709,243785.13572218156
Z000151025,B000006438,여천초등학교,초등학교,8490000,전라남도교육청,8511000,전라남도여수교육지원청,2023-03-22,411916.8546433677,327875.07618118194
Z000151065,B000006438,여천초등학교,초등학교,8490000,전라남도교육청,8511000,전라남도여수교육지원청,2023-03-22,259939.1606122709,243785.13572218156
Z000151065,B000006438,여천초등학교,초등학교,8490000,전라남도교육청,8511000,전라남도여수교육지원청,2023-03-22,411916.8546433677,327875.07618118194
Z000150929,B000005369,동화초등학교,초등학교,8000000,충청북도교육청,8011000,충청북도청주교육지원청,2023-03-22,273459.3912050449,525684.2003165272
Z000150929,B000005369,동화초등학교,초등학교,8000000,충청북도교육청,8011000,충청북도청주교육지원청,2023-03-22,176016.48330690284,297535.9629622422
Z000150929,B000005369,동화초등학교,초등학교,8000000,충청북도교육청,8011000,충청북도청주교육지원청,2023-03-22,196594.80954099537,512888.2510025194
Z000150929,B000005369,동화초등학교,초등학교,8000000,충청북도교육청,8011000,충청북도청주교육지원청,2023-03-22,244090.06921279087,438871.73744228366
Z000150929,B000005369,동화초등학교,초등학교,8000000,충청북도교육청,8011000,충청북도청주교육지원청,2023-03-22,160586.70306043915,102893.91875392338
Z000150928,B000005369,동화초등학교,초등학교,8000000,충청북도교육청,8011000,충청북도청주교육지원청,2023-03-22,273459.3912050449,525684.2003165272
Z000150928,B000005369,동화초등학교,초등학교,8000000,충청북도교육청,8011000,충청북도청주교육지원청,2023-03-22,176016.48330690284,297535.9629622422
Z000150928,B000005369,동화초등학교,초등학교,8000000,충청북도교육청,8011000,충청북도청주교육지원청,2023-03-22,196594.80954099537,512888.2510025194
Z000150928,B000005369,동화초등학교,초등학교,8000000,충청북도교육청,8011000,충청북도청주교육지원청,2023-03-22,244090.06921279087,438871.73744228366
Z000150928,B000005369,동화초등학교,초등학교,8000000,충청북도교육청,8011000,충청북도청주교육지원청,2023-03-22,160586.70306043915,102893.91875392338
Z000103391,B000005369,동화초등학교,초등학교,8000000,충청북도교육청,8011000,충청북도청주교육지원청,2023-03-22,273459.3912050449,525684.2003165272
Z000103391,B000005369,동화초등학교,초등학교,8000000,충청북도교육청,8011000,충청북도청주교육지원청,2023-03-22,176016.48330690284,297535.9629622422
Z000103391,B000005369,동화초등학교,초등학교,8000000,충청북도교육청,8011000,충청북도청주교육지원청,2023-03-22,196594.80954099537,512888.2510025194
Z000103391,B000005369,동화초등학교,초등학교,8000000,충청북도교육청,8011000,충청북도청주교육지원청,2023-03-22,244090.06921279087,438871.73744228366
Z000103391,B000005369,동화초등학교,초등학교,8000000,충청북도교육청,8011000,충청북도청주교육지원청,2023-03-22,160586.70306043915,102893.91875392338
Z000103945,B000005847,가남초등학교,초등학교,8140000,충청남도교육청,8251000,충청남도청양교육지원청,2023-03-22,386283.2028581639,286099.98711463145
Z000103945,B000005847,가남초등학교,초등학교,8140000,충청남도교육청,8251000,충청남도청양교육지원청,2023-03-22,181031.0890458552,435418.07641639886
Z000103945,B000005847,가남초등학교,초등학교,8140000,충청남도교육청,8251000,충청남도청양교육지원청,2023-03-22,248645.9490377307,511954.951809582
Z000103945,B000005847,가남초등학교,초등학교,8140000,충청남도교육청,8251000,충청남도청양교육지원청,2023-03-22,381679.0692506864,303543.39017454814
Z000101425,B000025306,새별초등학교,초등학교,7380000,광주광역시교육청,7401000,광주광역시서부교육지원청,2023-03-22,182924.39005683028,287386.88827397296
Z000100255,B000002111,서울후암초등학교,초등학교,7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2023-03-22,198425.3330712565,550176.0467786356
Z000104226,B000006089,이리신흥초등학교,초등학교,8320000,전라북도교육청,8351000,전라북도익산교육지원청,2023-03-22,198082.94698835412,370791.59387924266
Z000103199,B000005048,삼생초등학교,초등학교,7800000,강원도교육청,7881000,강원도홍천교육지원청,2023-03-22,308113.6446369921,567449.4646816876
Z000105969,B000007993,광양초등학교,초등학교,9290000,제주특별자치도교육청,9296000,제주특별자치도제주시교육지원청,2023-03-22,156286.68221522748,101082.4995788604
Z000101049,B000002942,대구금계초등학교,초등학교,7240000,대구광역시교육청,7281000,대구광역시달성교육지원청,2023-03-22,330524.19677013846,355582.250909108
Z000105669,B000007691,김해신안초등학교,초등학교,9010000,경상남도교육청,9091000,경상남도김해교육지원청,2023-03-22,363084.93421238975,288413.7724412126
Z000102951,B000004327,김포서초등학교,초등학교,7530000,경기도교육청,7771000,경기도김포교육지원청,2023-03-22,173677.9452290215,558818.6237773217
Z000105552,B000007452,팔룡초등학교,초등학교,9010000,경상남도교육청,9022000,경상남도창원교육지원청,2023-03-22,345101.29724991246,295104.0387666192
Z000100166,B000002056,서울계상초등학교,초등학교,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2023-03-22,206006.46757022155,562589.667329134
Z000105891,B000007901,묵계초등학교,초등학교,9010000,경상남도교육청,9181000,경상남도하동교육지원청,2023-03-22,266902.23337957985,292719.1461817979
Z000102946,B000004338,고촌초등학교,초등학교,7530000,경기도교육청,7771000,경기도김포교육지원청,2023-03-22,179963.68432325585,556306.4949831538
Z000105044,B000006973,월성초등학교,초등학교,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2023-03-22,342141.7082415427,289967.27016534645
Z000105044,B000006973,월성초등학교,초등학교,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2023-03-22,191904.32156030543,351436.7293954481
Z000105044,B000006973,월성초등학교,초등학교,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2023-03-22,399496.0410640742,362859.0174480159
Z000150752,B000006973,월성초등학교,초등학교,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2023-03-22,342141.7082415427,289967.27016534645
Z000150752,B000006973,월성초등학교,초등학교,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2023-03-22,191904.32156030543,351436.7293954481
Z000150752,B000006973,월성초등학교,초등학교,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2023-03-22,399496.0410640742,362859.0174480159
Z000150774,B000006675,장흥남초등학교,초등학교,8490000,전라남도교육청,8621000,전라남도장흥교육지원청,2023-03-22,189938.3137213037,229993.5616645991
Z000104758,B000006675,장흥남초등학교,초등학교,8490000,전라남도교육청,8621000,전라남도장흥교육지원청,2023-03-22,189938.3137213037,229993.5616645991
Z000151283,B000002899,대구본리초등학교,초등학교,7240000,대구광역시교육청,7271000,대구광역시남부교육지원청,2023-03-22,338973.854079502,361868.5216684996
Z000101001,B000002899,대구본리초등학교,초등학교,7240000,대구광역시교육청,7271000,대구광역시남부교육지원청,2023-03-22,338973.854079502,361868.5216684996
Z000101564,B000003434,대전구봉초등학교,초등학교,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2023-03-22,229587.61136924065,411330.93237304897
Z000103283,B000005142,남평초등학교,초등학교,7800000,강원도교육청,7921000,강원도정선교육지원청,2023-03-22,243742.089976878,446016.4092756072
Z000103283,B000005142,남평초등학교,초등학교,7800000,강원도교육청,7921000,강원도정선교육지원청,2023-03-22,347226.0373463477,538185.2639555098
Z000103283,B000005142,남평초등학교,초등학교,7800000,강원도교육청,7921000,강원도정선교육지원청,2023-03-22,185939.8073783084,271818.8052066788
Z000150370,B000005142,남평초등학교,초등학교,7800000,강원도교육청,7921000,강원도정선교육지원청,2023-03-22,243742.089976878,446016.4092756072
Z000150370,B000005142,남평초등학교,초등학교,7800000,강원도교육청,7921000,강원도정선교육지원청,2023-03-22,347226.0373463477,538185.2639555098
Z000150370,B000005142,남평초등학교,초등학교,7800000,강원도교육청,7921000,강원도정선교육지원청,2023-03-22,185939.8073783084,271818.8052066788
Z000150371,B000005142,남평초등학교,초등학교,7800000,강원도교육청,7921000,강원도정선교육지원청,2023-03-22,243742.089976878,446016.4092756072
Z000150371,B000005142,남평초등학교,초등학교,7800000,강원도교육청,7921000,강원도정선교육지원청,2023-03-22,347226.0373463477,538185.2639555098
Z000150371,B000005142,남평초등학교,초등학교,7800000,강원도교육청,7921000,강원도정선교육지원청,2023-03-22,185939.8073783084,271818.8052066788
Z000103773,B000005685,거산초등학교,초등학교,8140000,충청남도교육청,8181000,충청남도아산교육지원청,2023-03-22,199046.17996097897,454848.6541748522
Z000150947,B000026619,빛누리초등학교,초등학교,8490000,전라남도교육청,8531000,전라남도나주교육지원청,2023-03-22,180457.8830796948,270428.86300827045
Z000150475,B000026619,빛누리초등학교,초등학교,8490000,전라남도교육청,8531000,전라남도나주교육지원청,2023-03-22,180457.8830796948,270428.86300827045
Z000100178,B000002029,서울백운초등학교,초등학교,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2023-03-22,201195.62774008396,561484.0119328377
Z000103864,B000022937,가야곡초등학교,초등학교,8140000,충청남도교육청,8222000,충청남도논산계룡교육지원청,2023-03-22,215189.9410307668,393978.6171558467
Z000151003,B000022937,가야곡초등학교,초등학교,8140000,충청남도교육청,8222000,충청남도논산계룡교육지원청,2023-03-22,215189.9410307668,393978.6171558467
Z000151004,B000022937,가야곡초등학교,초등학교,8140000,충청남도교육청,8222000,충청남도논산계룡교육지원청,2023-03-22,215189.9410307668,393978.6171558467
Z000151001,B000022937,가야곡초등학교,초등학교,8140000,충청남도교육청,8222000,충청남도논산계룡교육지원청,2023-03-22,215189.9410307668,393978.6171558467
Z000151006,B000022937,가야곡초등학교,초등학교,8140000,충청남도교육청,8222000,충청남도논산계룡교육지원청,2023-03-22,215189.9410307668,393978.6171558467
Z000151002,B000022937,가야곡초등학교,초등학교,8140000,충청남도교육청,8222000,충청남도논산계룡교육지원청,2023-03-22,215189.9410307668,393978.6171558467
Z000151005,B000022937,가야곡초등학교,초등학교,8140000,충청남도교육청,8222000,충청남도논산계룡교육지원청,2023-03-22,215189.9410307668,393978.6171558467
Z000105705,B000007677,진영대창초등학교,초등학교,9010000,경상남도교육청,9091000,경상남도김해교육지원청,2023-03-22,358165.401368223,301956.0637462317
